method,weight_function,capped_weight,k,alpha,beta,sample,class,silhouette_value
SIWKL_inverse_G,1/G,True,51,0.01,1.0,sample06.pathological,pathological,0.1454157619283651
SIWKL_inverse_G,1/G,True,51,0.01,1.0,sample07.pathological,pathological,0.14649671256119243
SIWKL_inverse_G,1/G,True,51,0.01,1.0,sample08.pathological,pathological,0.14571461342768996
SIWKL_inverse_G,1/G,True,51,0.01,1.0,sample09.pathological,pathological,0.15063226403747043
SIWKL_inverse_G,1/G,True,51,0.01,1.0,sample10.pathological,pathological,0.152636605623324
SIWKL_inverse_G,1/G,True,51,0.001,1.0,sample01.functional,functional,-0.0772531896441062
SIWKL_inverse_G,1/G,True,51,0.001,1.0,sample02.functional,functional,-0.07466340672513712
SIWKL_inverse_G,1/G,True,51,0.001,1.0,sample03.functional,functional,-0.07561077063897133
SIWKL_inverse_G,1/G,True,51,0.001,1.0,sample04.functional,functional,-0.07374105993337779
SIWKL_inverse_G,1/G,True,51,0.001,1.0,sample05.functional,functional,-0.08242778421532736
SIWKL_inverse_G,1/G,True,51,0.001,1.0,sample06.pathological,pathological,0.14540865807387113
SIWKL_inverse_G,1/G,True,51,0.001,1.0,sample07.pathological,pathological,0.14648899682851654
SIWKL_inverse_G,1/G,True,51,0.001,1.0,sample08.pathological,pathological,0.145706594708312
SIWKL_inverse_G,1/G,True,51,0.001,1.0,sample09.pathological,pathological,0.15062399971137685
SIWKL_inverse_G,1/G,True,51,0.001,1.0,sample10.pathological,pathological,0.15262926089693804
SIWKL_inverse_G,1/G,True,51,0.0001,1.0,sample01.functional,functional,-0.0772482057960699
SIWKL_inverse_G,1/G,True,51,0.0001,1.0,sample02.functional,functional,-0.074658581546734
