method,k,alpha,beta,uncapped,sample,class,sample_silhouette_score,status
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.01,True,sample05.functional.fa,functional,-0.00659232,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.01,True,sample06.pathological.fa,pathological,0.05632786,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.01,True,sample07.pathological.fa,pathological,0.06083889,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.01,True,sample08.pathological.fa,pathological,0.06101850,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.01,True,sample09.pathological.fa,pathological,0.05840744,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.01,True,sample10.pathological.fa,pathological,0.05395098,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.1,True,sample01.functional.fa,functional,-0.00691984,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.1,True,sample02.functional.fa,functional,-0.01001621,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.1,True,sample03.functional.fa,functional,-0.00925075,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.1,True,sample04.functional.fa,functional,-0.00080953,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.1,True,sample05.functional.fa,functional,-0.00662313,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.1,True,sample06.pathological.fa,pathological,0.05758714,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.1,True,sample07.pathological.fa,pathological,0.06222408,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.1,True,sample08.pathological.fa,pathological,0.06237484,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.1,True,sample09.pathological.fa,pathological,0.05983817,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.1,True,sample10.pathological.fa,pathological,0.05525369,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,1.0,True,sample01.functional.fa,functional,-0.00667289,possibly_misplaced
